[3/16/22 04:35PM] Quiet Prof used command ::repackindex4 | Player rights = DEVELOPER	
[3/18/22 04:42PM] Quiet Prof used command ::item 17714 | Player rights = DEVELOPER	
[3/18/22 04:46PM] Quiet Prof used command ::id gloves | Player rights = DEVELOPER	
[3/18/22 04:46PM] Quiet Prof used command ::item 1580 | Player rights = DEVELOPER	
[3/18/22 04:46PM] Quiet Prof used command ::item 8812 | Player rights = DEVELOPER	
[3/18/22 04:46PM] Quiet Prof used command ::item 10076 | Player rights = DEVELOPER	
[3/18/22 04:47PM] Quiet Prof used command ::item 15118 | Player rights = DEVELOPER	
[3/18/22 04:47PM] Quiet Prof used command ::item 19939 | Player rights = DEVELOPER	
[3/18/22 04:47PM] Quiet Prof used command ::item 15818 | Player rights = DEVELOPER	
[3/18/22 04:50PM] Quiet Prof used command ::interface 3559 | Player rights = DEVELOPER	
[3/18/22 04:50PM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/18/22 05:09PM] Quiet Prof used command ::npc 12239 | Player rights = DEVELOPER	
[3/18/22 05:10PM] Quiet Prof used command ::god | Player rights = DEVELOPER	
[3/18/22 05:15PM] Quiet Prof used command ::npc 12239 | Player rights = DEVELOPER	
[3/18/22 05:15PM] Quiet Prof used command ::god | Player rights = DEVELOPER	
[3/18/22 05:27PM] Quiet Prof used command ::pnpc 12239 | Player rights = DEVELOPER	
[3/18/22 05:27PM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/18/22 05:27PM] Quiet Prof used command ::npc 12239 | Player rights = DEVELOPER	
[3/18/22 05:38PM] Quiet Prof used command ::afk | Player rights = DEVELOPER	
[3/18/22 05:38PM] Quiet Prof used command ::tele 2300 2300 | Player rights = DEVELOPER	
[3/18/22 05:38PM] Quiet Prof used command ::npc 12239 | Player rights = DEVELOPER	
[3/18/22 05:38PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/18/22 05:38PM] Quiet Prof used command ::pnpc 12239 | Player rights = DEVELOPER	
[3/18/22 05:39PM] Quiet Prof used command ::zzone | Player rights = DEVELOPER	
[3/18/22 05:39PM] Quiet Prof used command ::pnpc 12239 | Player rights = DEVELOPER	
[3/18/22 05:39PM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/18/22 05:39PM] Quiet Prof used command ::npc 12239 | Player rights = DEVELOPER	
[3/18/22 05:43PM] Quiet Prof used command ::item 18600 | Player rights = DEVELOPER	
[3/18/22 05:43PM] Quiet Prof used command ::item 18601 | Player rights = DEVELOPER	
[3/18/22 05:43PM] Quiet Prof used command ::Item 18599 | Player rights = DEVELOPER	
[3/18/22 05:43PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/18/22 05:43PM] Quiet Prof used command ::Item 18602 | Player rights = DEVELOPER	
[3/18/22 05:43PM] Quiet Prof used command ::item 18603 | Player rights = DEVELOPER	
[3/18/22 07:37PM] Quiet Prof used command ::npc 12239 | Player rights = DEVELOPER	
[3/18/22 09:02PM] Quiet Prof used command ::npc 8617 | Player rights = DEVELOPER	
[3/19/22 09:13AM] Quiet Prof used command ::item 17648 | Player rights = DEVELOPER	
[3/19/22 09:14AM] Quiet Prof used command ::item 8273 | Player rights = DEVELOPER	
[3/19/22 09:15AM] Quiet Prof used command ::empty | Player rights = DEVELOPER	
[3/19/22 09:15AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 09:16AM] Quiet Prof used command ::item 4684 | Player rights = DEVELOPER	
[3/19/22 09:16AM] Quiet Prof used command ::item 4685 | Player rights = DEVELOPER	
[3/19/22 09:16AM] Quiet Prof used command ::item 4686 | Player rights = DEVELOPER	
[3/19/22 09:18AM] Quiet Prof used command ::item 17646 | Player rights = DEVELOPER	
[3/19/22 09:24AM] Quiet Prof used command ::empty | Player rights = DEVELOPER	
[3/19/22 09:24AM] Quiet Prof used command ::item 8273 | Player rights = DEVELOPER	
[3/19/22 09:24AM] Quiet Prof used command ::item 8274 | Player rights = DEVELOPER	
[3/19/22 09:25AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 09:27AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 09:27AM] Quiet Prof used command ::Bank | Player rights = DEVELOPER	
[3/19/22 09:37AM] Quiet Prof used command ::Item 17646 | Player rights = DEVELOPER	
[3/19/22 09:38AM] Quiet Prof used command ::item 1764 | Player rights = DEVELOPER	
[3/19/22 09:38AM] Quiet Prof used command ::item 17648 | Player rights = DEVELOPER	
[3/19/22 09:38AM] Quiet Prof used command ::item 17650 | Player rights = DEVELOPER	
[3/19/22 09:38AM] Quiet Prof used command ::item 22103 | Player rights = DEVELOPER	
[3/19/22 09:39AM] Quiet Prof used command ::Item 22104 | Player rights = DEVELOPER	
[3/19/22 09:41AM] Quiet Prof used command ::Bank | Player rights = DEVELOPER	
[3/19/22 09:52AM] Quiet Prof used command ::item 1766 | Player rights = DEVELOPER	
[3/19/22 09:52AM] Quiet Prof used command ::item 17662 | Player rights = DEVELOPER	
[3/19/22 09:52AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 09:54AM] Quiet Prof used command ::Bank | Player rights = DEVELOPER	
[3/19/22 10:00AM] Quiet Prof used command ::item 19994 | Player rights = DEVELOPER	
[3/19/22 10:32AM] Quiet Prof used command ::item 13101 | Player rights = DEVELOPER	
[3/19/22 10:49AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 10:49AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 11:12AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 11:22AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 11:23AM] Quiet Prof used command ::god | Player rights = DEVELOPER	
[3/19/22 11:23AM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/19/22 11:43AM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/19/22 12:08PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 12:15PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/19/22 12:16PM] Quiet Prof used command ::item 17648 | Player rights = DEVELOPER	
[3/19/22 12:24PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/20/22 07:42AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/20/22 07:42AM] Quiet Prof used command ::item 19471 | Player rights = DEVELOPER	
[3/20/22 07:42AM] Quiet Prof used command ::item 19470 | Player rights = DEVELOPER	
[3/20/22 07:42AM] Quiet Prof used command ::item 19469 | Player rights = DEVELOPER	
[3/20/22 07:49AM] Quiet Prof used command ::item 17608 | Player rights = DEVELOPER	
[3/20/22 07:49AM] Quiet Prof used command ::item 17610 | Player rights = DEVELOPER	
[3/20/22 07:49AM] Quiet Prof used command ::item 17612 | Player rights = DEVELOPER	
[3/20/22 07:56AM] Quiet Prof used command ::item 21028 | Player rights = DEVELOPER	
[3/20/22 07:56AM] Quiet Prof used command ::item 21029 | Player rights = DEVELOPER	
[3/20/22 07:56AM] Quiet Prof used command ::item 21030 | Player rights = DEVELOPER	
[3/20/22 08:00AM] Quiet Prof used command ::item 17594 | Player rights = DEVELOPER	
[3/20/22 08:01AM] Quiet Prof used command ::item 17596 | Player rights = DEVELOPER	
[3/20/22 08:01AM] Quiet Prof used command ::item 17598 | Player rights = DEVELOPER	
[3/20/22 08:08AM] Quiet Prof used command ::item 22092 | Player rights = DEVELOPER	
[3/20/22 08:15AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/20/22 08:16AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/20/22 08:23AM] Quiet Prof used command ::Item 17614 | Player rights = DEVELOPER	
[3/20/22 08:23AM] Quiet Prof used command ::item 17616 | Player rights = DEVELOPER	
[3/20/22 08:23AM] Quiet Prof used command ::item 17618 | Player rights = DEVELOPER	
[3/20/22 08:24AM] Quiet Prof used command ::item 17544 | Player rights = DEVELOPER	
[3/20/22 08:24AM] Quiet Prof used command ::item 17546 | Player rights = DEVELOPER	
[3/20/22 08:27AM] Quiet Prof used command ::empty | Player rights = DEVELOPER	
[3/20/22 08:40AM] Quiet Prof used command ::item 4977 | Player rights = DEVELOPER	
[3/20/22 08:40AM] Quiet Prof used command ::item 4989 | Player rights = DEVELOPER	
[3/20/22 08:40AM] Quiet Prof used command ::item 4995 | Player rights = DEVELOPER	
[3/20/22 08:40AM] Quiet Prof used command ::gm 3 | Player rights = DEVELOPER	
[3/20/22 08:40AM] Quiet Prof used command ::gamemode 3 | Player rights = DEVELOPER	
[3/20/22 08:48AM] Quiet Prof used command ::gamemode 1 | Player rights = DEVELOPER	
[3/20/22 08:48AM] Quiet Prof used command ::item 17626 | Player rights = DEVELOPER	
[3/20/22 08:48AM] Quiet Prof used command ::item 17628 | Player rights = DEVELOPER	
[3/20/22 08:48AM] Quiet Prof used command ::item 17630 | Player rights = DEVELOPER	
[3/20/22 08:49AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/20/22 10:04AM] Quiet Prof used command ::pnpc 9020 | Player rights = DEVELOPER	
[3/20/22 10:10AM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/20/22 10:16AM] Quiet Prof used command ::god | Player rights = DEVELOPER	
[3/20/22 10:17AM] Quiet Prof used command ::id eternal | Player rights = DEVELOPER	
[3/20/22 10:17AM] Quiet Prof used command ::item 463 | Player rights = DEVELOPER	
[3/20/22 10:24AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/20/22 10:24AM] Quiet Prof used command ::gamemode 2 | Player rights = DEVELOPER	
[3/25/22 07:46AM] Quiet Prof used command ::god | Player rights = DEVELOPER	
[3/25/22 07:47AM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/25/22 03:18PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/25/22 03:19PM] Quiet Prof used command ::tele 2078 4439 1 | Player rights = DEVELOPER	
[3/25/22 03:22PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/25/22 03:31PM] Quiet Prof used command ::yell quiet p | Player rights = DEVELOPER	
[3/25/22 03:31PM] Quiet Prof used command ::yell testa | Player rights = DEVELOPER	
[3/25/22 03:31PM] Quiet Prof used command ::yell teaoi;d Quiet Prof | Player rights = DEVELOPER	
[3/26/22 06:30AM] Quiet Prof used command ::afk | Player rights = DEVELOPER	
[3/26/22 06:30AM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/26/22 06:31AM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/27/22 01:04PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/27/22 01:05PM] Quiet Prof used command ::pnpc 12810 | Player rights = DEVELOPER	
[3/27/22 01:05PM] Quiet Prof used command ::logout | Player rights = DEVELOPER	
[3/27/22 01:06PM] Quiet Prof used command ::npc 17254 | Player rights = DEVELOPER	
[3/27/22 01:06PM] Quiet Prof used command ::npc 1724 | Player rights = DEVELOPER	
[3/27/22 01:07PM] Quiet Prof used command ::id aspect c | Player rights = DEVELOPER	
[3/27/22 01:07PM] Quiet Prof used command ::id aspect | Player rights = DEVELOPER	
[3/27/22 01:07PM] Quiet Prof used command ::id solak coins | Player rights = DEVELOPER	
[3/27/22 01:09PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/27/22 01:09PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/27/22 01:09PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/27/22 01:11PM] Quiet Prof used command ::god | Player rights = DEVELOPER	
[3/27/22 01:11PM] Quiet Prof used command ::item 773 | Player rights = DEVELOPER	
[3/27/22 01:12PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/27/22 01:12PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/27/22 01:13PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/27/22 01:13PM] Quiet Prof used command ::gm 12 | Player rights = DEVELOPER	
[3/27/22 01:13PM] Quiet Prof used command ::gm 1 | Player rights = DEVELOPER	
[3/27/22 01:13PM] Quiet Prof used command ::gamemode1 | Player rights = DEVELOPER	
[3/27/22 01:14PM] Quiet Prof used command ::gamemode 1 | Player rights = DEVELOPER	
[3/27/22 01:14PM] Quiet Prof used command ::faction | Player rights = DEVELOPER	
[3/27/22 01:14PM] Quiet Prof used command ::faction 2 | Player rights = DEVELOPER	
[3/27/22 01:14PM] Quiet Prof used command ::faction 3 | Player rights = DEVELOPER	
[3/27/22 01:14PM] Quiet Prof used command ::faction 4 | Player rights = DEVELOPER	
[3/27/22 01:14PM] Quiet Prof used command ::faction 1 | Player rights = DEVELOPER	
[3/28/22 07:01PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/28/22 07:23PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/28/22 07:23PM] Quiet Prof used command ::item 23058 | Player rights = DEVELOPER	
[3/28/22 07:23PM] Quiet Prof used command ::item 23057 | Player rights = DEVELOPER	
[3/28/22 07:23PM] Quiet Prof used command ::item 23059 | Player rights = DEVELOPER	
[3/28/22 07:23PM] Quiet Prof used command ::item 23060 | Player rights = DEVELOPER	
[3/28/22 07:23PM] Quiet Prof used command ::item 23070 | Player rights = DEVELOPER	
[3/28/22 07:23PM] Quiet Prof used command ::item 23061 | Player rights = DEVELOPER	
[3/28/22 07:24PM] Quiet Prof used command ::item 6769 | Player rights = DEVELOPER	
[3/28/22 07:24PM] Quiet Prof used command ::item 23173 | Player rights = DEVELOPER	
[3/28/22 07:35PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/29/22 04:31PM] Quiet Prof used command ::object 4388 | Player rights = DEVELOPER	
[3/29/22 04:31PM] Quiet Prof used command ::devils | Player rights = DEVELOPER	
[3/29/22 04:31PM] Quiet Prof used command ::devils | Player rights = DEVELOPER	
[3/29/22 04:31PM] Quiet Prof used command ::dragons | Player rights = DEVELOPER	
[3/29/22 04:32PM] Quiet Prof used command ::gamble | Player rights = DEVELOPER	
[3/29/22 04:32PM] Quiet Prof used command ::tele 2463 5016 | Player rights = DEVELOPER	
[3/29/22 04:32PM] Quiet Prof used command ::tele 2463 5007 | Player rights = DEVELOPER	
[3/29/22 04:32PM] Quiet Prof used command ::tele 2463 5012 | Player rights = DEVELOPER	
[3/29/22 04:32PM] Quiet Prof used command ::tele 2462 5019 | Player rights = DEVELOPER	
[3/29/22 04:32PM] Quiet Prof used command ::tele 2462 5020 | Player rights = DEVELOPER	
[3/29/22 04:32PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 04:32PM] Quiet Prof used command ::forge | Player rights = DEVELOPER	
[3/29/22 04:34PM] Quiet Prof used command ::tele 2717 4578 | Player rights = DEVELOPER	
[3/29/22 04:34PM] Quiet Prof used command ::object 22823 | Player rights = DEVELOPER	
[3/29/22 04:35PM] Quiet Prof used command ::interface 121020 | Player rights = DEVELOPER	
[3/29/22 04:35PM] Quiet Prof used command ::interface 121000 | Player rights = DEVELOPER	
[3/29/22 04:36PM] Quiet Prof used command ::item 23158 | Player rights = DEVELOPER	
[3/29/22 04:36PM] Quiet Prof used command ::item 23159 | Player rights = DEVELOPER	
[3/29/22 04:36PM] Quiet Prof used command ::item 23160 | Player rights = DEVELOPER	
[3/29/22 04:36PM] Quiet Prof used command ::item 23176 | Player rights = DEVELOPER	
[3/29/22 04:38PM] Quiet Prof used command ::interface 120000 | Player rights = DEVELOPER	
[3/29/22 04:38PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/29/22 04:38PM] Quiet Prof used command ::tele 2078 4455 | Player rights = DEVELOPER	
[3/29/22 04:39PM] Quiet Prof used command ::interface 120000 | Player rights = DEVELOPER	
[3/29/22 04:39PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/29/22 04:40PM] Quiet Prof used command ::perks | Player rights = DEVELOPER	
[3/29/22 04:40PM] Quiet Prof used command ::upgrade | Player rights = DEVELOPER	
[3/29/22 04:40PM] Quiet Prof used command ::Starterzones | Player rights = DEVELOPER	
[3/29/22 04:40PM] Quiet Prof used command ::claimdonation | Player rights = DEVELOPER	
[3/29/22 04:41PM] Quiet Prof used command ::Fix | Player rights = DEVELOPER	
[3/29/22 04:41PM] Quiet Prof used command ::kills | Player rights = DEVELOPER	
[3/29/22 04:41PM] Quiet Prof used command ::dropmessage | Player rights = DEVELOPER	
[3/29/22 04:41PM] Quiet Prof used command ::dropmessage | Player rights = DEVELOPER	
[3/29/22 04:42PM] Quiet Prof used command ::requestraid | Player rights = DEVELOPER	
[3/29/22 04:42PM] Quiet Prof used command ::train | Player rights = DEVELOPER	
[3/29/22 04:42PM] Quiet Prof used command ::train2 | Player rights = DEVELOPER	
[3/29/22 04:42PM] Quiet Prof used command ::dailyrewards | Player rights = DEVELOPER	
[3/29/22 04:43PM] Quiet Prof used command ::time | Player rights = DEVELOPER	
[3/29/22 04:43PM] Quiet Prof used command ::whatdrops | Player rights = DEVELOPER	
[3/29/22 04:43PM] Quiet Prof used command ::whatdrops sonic | Player rights = DEVELOPER	
[3/29/22 04:43PM] Quiet Prof used command ::szone | Player rights = DEVELOPER	
[3/29/22 04:43PM] Quiet Prof used command ::zzone | Player rights = DEVELOPER	
[3/29/22 04:46PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/29/22 04:48PM] Quiet Prof used command ::item 23177 | Player rights = DEVELOPER	
[3/29/22 04:48PM] Quiet Prof used command ::item 23177 | Player rights = DEVELOPER	
[3/29/22 04:48PM] Quiet Prof used command ::item 23173 | Player rights = DEVELOPER	
[3/29/22 04:50PM] Quiet Prof used command ::empty | Player rights = DEVELOPER	
[3/29/22 04:51PM] Quiet Prof used command ::item 21603 | Player rights = DEVELOPER	
[3/29/22 04:53PM] Quiet Prof used command ::bank | Player rights = DEVELOPER	
[3/29/22 04:55PM] Quiet Prof used command ::id box | Player rights = DEVELOPER	
[3/29/22 05:18PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/29/22 05:19PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 05:19PM] Quiet Prof used command ::youtube | Player rights = DEVELOPER	
[3/29/22 05:19PM] Quiet Prof used command ::reset | Player rights = DEVELOPER	
[3/29/22 05:19PM] Quiet Prof used command ::fix | Player rights = DEVELOPER	
[3/29/22 06:28PM] Quiet Prof used command ::home | Player rights = DEVELOPER	
[3/29/22 06:29PM] Quiet Prof used command ::tele 2082 4455 | Player rights = DEVELOPER	
[3/29/22 06:30PM] Quiet Prof used command ::tele 2082 4456 | Player rights = DEVELOPER	
[3/29/22 06:31PM] Quiet Prof used command ::tele 2077 4456 | Player rights = DEVELOPER	
[3/29/22 06:31PM] Quiet Prof used command ::tele 2074 4456 | Player rights = DEVELOPER	
[3/29/22 06:31PM] Quiet Prof used command ::tele 2074 4455 | Player rights = DEVELOPER	
[3/29/22 06:31PM] Quiet Prof used command ::tele 2077 4451 | Player rights = DEVELOPER	
[3/29/22 06:31PM] Quiet Prof used command ::tele 2076 4445 | Player rights = DEVELOPER	
[3/29/22 06:31PM] Quiet Prof used command ::tele 2074 4441 | Player rights = DEVELOPER	
[3/29/22 06:32PM] Quiet Prof used command ::tele 2074 4442 | Player rights = DEVELOPER	
[3/29/22 06:32PM] Quiet Prof used command ::tele 2078 4442 | Player rights = DEVELOPER	
[3/29/22 06:32PM] Quiet Prof used command ::tele 2082 4442 | Player rights = DEVELOPER	
[3/29/22 06:32PM] Quiet Prof used command ::auth Aspect::co | Player rights = DEVELOPER	
[3/29/22 06:32PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:32PM] Quiet Prof used command ::auth aspect | Player rights = DEVELOPER	
[3/29/22 06:32PM] Quiet Prof used command ::auth | Player rights = DEVELOPER	
[3/29/22 06:32PM] Quiet Prof used command ::tele 2082 4441 | Player rights = DEVELOPER	
[3/29/22 06:33PM] Quiet Prof used command ::tele 2079 4442 | Player rights = DEVELOPER	
[3/29/22 06:33PM] Quiet Prof used command ::tele 2078 4449 | Player rights = DEVELOPER	
[3/29/22 06:33PM] Quiet Prof used command ::tele 2079 4455 | Player rights = DEVELOPER	
[3/29/22 06:35PM] Quiet Prof used command ::tele 2078 4460 | Player rights = DEVELOPER	
[3/29/22 06:37PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:37PM] Quiet Prof used command ::tele 2082 4459 | Player rights = DEVELOPER	
[3/29/22 06:37PM] Quiet Prof used command ::tele 2081 4465 | Player rights = DEVELOPER	
[3/29/22 06:38PM] Quiet Prof used command ::tele 2082 4451 | Player rights = DEVELOPER	
[3/29/22 06:38PM] Quiet Prof used command ::tele 2089 4443 | Player rights = DEVELOPER	
[3/29/22 06:38PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:38PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:38PM] Quiet Prof used command ::tele 2088 4447 | Player rights = DEVELOPER	
[3/29/22 06:38PM] Quiet Prof used command ::tele 2083 4453 | Player rights = DEVELOPER	
[3/29/22 06:38PM] Quiet Prof used command ::tele 2078 4458 | Player rights = DEVELOPER	
[3/29/22 06:38PM] Quiet Prof used command ::tele 2083 4463 | Player rights = DEVELOPER	
[3/29/22 06:39PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:39PM] Quiet Prof used command ::tele 2087 4449 | Player rights = DEVELOPER	
[3/29/22 06:39PM] Quiet Prof used command ::tele 2091 4442 | Player rights = DEVELOPER	
[3/29/22 06:40PM] Quiet Prof used command ::tele 2080 4448 | Player rights = DEVELOPER	
[3/29/22 06:40PM] Quiet Prof used command ::tele 2077 4461 | Player rights = DEVELOPER	
[3/29/22 06:40PM] Quiet Prof used command ::tele 2082 4463 | Player rights = DEVELOPER	
[3/29/22 06:40PM] Quiet Prof used command ::item 995 100000000 | Player rights = DEVELOPER	
[3/29/22 06:40PM] Quiet Prof used command ::item 995 100000000 | Player rights = DEVELOPER	
[3/29/22 06:41PM] Quiet Prof used command ::id aspect tokens | Player rights = DEVELOPER	
[3/29/22 06:41PM] Quiet Prof used command ::item 10835 100000000 | Player rights = DEVELOPER	
[3/29/22 06:42PM] Quiet Prof used command ::tele 2085 4444 | Player rights = DEVELOPER	
[3/29/22 06:42PM] Quiet Prof used command ::tele 2091 4445 | Player rights = DEVELOPER	
[3/29/22 06:42PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:43PM] Quiet Prof used command ::tele 2078 4446 | Player rights = DEVELOPER	
[3/29/22 06:43PM] Quiet Prof used command ::tele 2067 4450 | Player rights = DEVELOPER	
[3/29/22 06:43PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:43PM] Quiet Prof used command ::tele 2069 4462 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2084 4453 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2080 4450 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2076 4447 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2076 4450 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2068 4457 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2069 4462 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2074 4464 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2074 4466 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2074 4467 | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:44PM] Quiet Prof used command ::tele 2081 4467 | Player rights = DEVELOPER	
[3/29/22 06:45PM] Quiet Prof used command ::tele 2083 4466 | Player rights = DEVELOPER	
[3/29/22 06:45PM] Quiet Prof used command ::tele 2082 4467 | Player rights = DEVELOPER	
[3/29/22 06:45PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:45PM] Quiet Prof used command ::tele 2073 4466 | Player rights = DEVELOPER	
[3/29/22 06:47PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:47PM] Quiet Prof used command ::coords | Player rights = DEVELOPER	
[3/29/22 06:49PM] Quiet Prof used command ::tele 2070 4463 | Player rights = DEVELOPER	
[3/29/22 06:49PM] Quiet Prof used command ::tele 2058 4457 | Player rights = DEVELOPER	
[3/29/22 06:49PM] Quiet Prof used command ::tele 2075 4459 | Player rights = DEVELOPER	
[3/29/22 06:49PM] Quiet Prof used command ::tele 2082 4462 | Player rights = DEVELOPER	
[3/29/22 06:49PM] Quiet Prof used command ::tele 2087 4463 | Player rights = DEVELOPER	
[3/29/22 06:49PM] Quiet Prof used command ::tele 2087 4458 | Player rights = DEVELOPER	
