[4/3/22 03:55PM] Quiet Prof3 used command ::logout | Player rights = PLAYER	
[4/3/22 04:29PM] Quiet Prof3 used command ::item 23078 | Player rights = DEVELOPER	
[4/3/22 04:29PM] Quiet Prof3 used command ::item 23079 | Player rights = DEVELOPER	
[4/3/22 04:29PM] Quiet Prof3 used command ::Item 23080 | Player rights = DEVELOPER	
[4/3/22 04:29PM] Quiet Prof3 used command ::item 23080 | Player rights = DEVELOPER	
[4/3/22 04:29PM] Quiet Prof3 used command ::item 23081 | Player rights = DEVELOPER	
[4/3/22 04:30PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:30PM] Quiet Prof3 used command ::item 17600 | Player rights = DEVELOPER	
[4/3/22 04:31PM] Quiet Prof3 used command ::item 23147 | Player rights = DEVELOPER	
[4/3/22 04:31PM] Quiet Prof3 used command ::item 23148 | Player rights = DEVELOPER	
[4/3/22 04:31PM] Quiet Prof3 used command ::item 23149 | Player rights = DEVELOPER	
[4/3/22 04:31PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:32PM] Quiet Prof3 used command ::item 23165 | Player rights = DEVELOPER	
[4/3/22 04:32PM] Quiet Prof3 used command ::item 23166 | Player rights = DEVELOPER	
[4/3/22 04:32PM] Quiet Prof3 used command ::item 23167 | Player rights = DEVELOPER	
[4/3/22 04:32PM] Quiet Prof3 used command ::Item 23168 | Player rights = DEVELOPER	
[4/3/22 04:32PM] Quiet Prof3 used command ::item 23169 | Player rights = DEVELOPER	
[4/3/22 04:33PM] Quiet Prof3 used command ::Item 23170 | Player rights = DEVELOPER	
[4/3/22 04:33PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:33PM] Quiet Prof3 used command ::item 23087 | Player rights = DEVELOPER	
[4/3/22 04:33PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:34PM] Quiet Prof3 used command ::id halls of v | Player rights = DEVELOPER	
[4/3/22 04:34PM] Quiet Prof3 used command ::Item 23086 | Player rights = DEVELOPER	
[4/3/22 04:34PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:34PM] Quiet Prof3 used command ::id rare | Player rights = DEVELOPER	
[4/3/22 04:34PM] Quiet Prof3 used command ::item 23171 | Player rights = DEVELOPER	
[4/3/22 04:34PM] Quiet Prof3 used command ::id box | Player rights = DEVELOPER	
[4/3/22 04:34PM] Quiet Prof3 used command ::item 15002 | Player rights = DEVELOPER	
[4/3/22 04:35PM] Quiet Prof3 used command ::item 23172 | Player rights = DEVELOPER	
[4/3/22 04:35PM] Quiet Prof3 used command ::item 23033 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23021 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23022 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23023 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23024 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::Item 23025 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::Item 23026 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23026 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23027 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23028 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23029 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23030 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23031 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23032 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::item 23034 | Player rights = DEVELOPER	
[4/3/22 04:37PM] Quiet Prof3 used command ::Item: 23033 | Player rights = DEVELOPER	
[4/3/22 04:38PM] Quiet Prof3 used command ::item 23035 | Player rights = DEVELOPER	
[4/3/22 04:38PM] Quiet Prof3 used command ::item 23036 | Player rights = DEVELOPER	
[4/3/22 04:38PM] Quiet Prof3 used command ::Item 23037 | Player rights = DEVELOPER	
[4/3/22 04:38PM] Quiet Prof3 used command ::item 23038 | Player rights = DEVELOPER	
[4/3/22 04:38PM] Quiet Prof3 used command ::item 23040 | Player rights = DEVELOPER	
[4/3/22 04:38PM] Quiet Prof3 used command ::item 23039 | Player rights = DEVELOPER	
[4/3/22 04:38PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:39PM] Quiet Prof3 used command ::item 23139 | Player rights = DEVELOPER	
[4/3/22 04:39PM] Quiet Prof3 used command ::item 23140 | Player rights = DEVELOPER	
[4/3/22 04:39PM] Quiet Prof3 used command ::item 23141 | Player rights = DEVELOPER	
[4/3/22 04:39PM] Quiet Prof3 used command ::item 23142 | Player rights = DEVELOPER	
[4/3/22 04:39PM] Quiet Prof3 used command ::item 23144 | Player rights = DEVELOPER	
[4/3/22 04:39PM] Quiet Prof3 used command ::Item 23145 | Player rights = DEVELOPER	
[4/3/22 04:39PM] Quiet Prof3 used command ::item 23146 | Player rights = DEVELOPER	
[4/3/22 04:39PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:40PM] Quiet Prof3 used command ::home | Player rights = DEVELOPER	
[4/3/22 04:41PM] Quiet Prof3 used command ::tele 2074 4465 | Player rights = DEVELOPER	
[4/3/22 04:42PM] Quiet Prof3 used command ::tele 2079 4452 | Player rights = DEVELOPER	
[4/3/22 04:42PM] Quiet Prof3 used command ::tele 2089 4445 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::item 23057 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::Item 23058 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::item 23059 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::item::Item 230 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::item 23060 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::item 6769 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::item 23173 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::item 10934 | Player rights = DEVELOPER	
[4/3/22 04:43PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:45PM] Quiet Prof3 used command ::item 10935 | Player rights = DEVELOPER	
[4/3/22 04:45PM] Quiet Prof3 used command ::empty | Player rights = DEVELOPER	
[4/3/22 04:46PM] Quiet Prof3 used command ::item 23071 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::item 23069 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::item 23070 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::item 23074 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::item 23082 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::item 23072 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::item 23073 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::tele 2080 4461 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::tele 2077 4453 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::tele 2077 4448 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::tele 2077 4442 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::tele 2073 4440 | Player rights = DEVELOPER	
[4/3/22 04:47PM] Quiet Prof3 used command ::tele 2074 4440 | Player rights = DEVELOPER	
[4/3/22 04:48PM] Quiet Prof3 used command ::id sorrow bow | Player rights = DEVELOPER	
[4/3/22 04:48PM] Quiet Prof3 used command ::item 20173 | Player rights = DEVELOPER	
[4/3/22 04:48PM] Quiet Prof3 used command ::tele 2076 4445 | Player rights = DEVELOPER	
[4/3/22 04:48PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:48PM] Quiet Prof3 used command ::empty | Player rights = DEVELOPER	
[4/3/22 04:49PM] Quiet Prof3 used command ::tele 2918 3053 | Player rights = DEVELOPER	
[4/3/22 04:49PM] Quiet Prof3 used command ::god | Player rights = DEVELOPER	
[4/3/22 04:50PM] Quiet Prof3 used command ::Item 17011 1 | Player rights = DEVELOPER	
[4/3/22 04:51PM] Quiet Prof3 used command ::gold | Player rights = DEVELOPER	
[4/3/22 04:51PM] Quiet Prof3 used command ::max | Player rights = DEVELOPER	
[4/3/22 04:51PM] Quiet Prof3 used command ::tele 2599 2713 | Player rights = DEVELOPER	
[4/3/22 04:51PM] Quiet Prof3 used command ::tele 2598 2732 | Player rights = DEVELOPER	
[4/3/22 04:51PM] Quiet Prof3 used command ::tele 2595 2733 | Player rights = DEVELOPER	
[4/3/22 04:51PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:52PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:53PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:55PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::empty | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::id party h | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::id partyh | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1038 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1040 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1041 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1042 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::Item 1044 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1046 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1048 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::Item 1050 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::id h'ween | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1058 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::Item 1057 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1055 | Player rights = DEVELOPER	
[4/3/22 04:56PM] Quiet Prof3 used command ::item 1053 | Player rights = DEVELOPER	
[4/3/22 04:57PM] Quiet Prof3 used command ::item 18407 | Player rights = DEVELOPER	
[4/3/22 04:57PM] Quiet Prof3 used command ::item 22021 | Player rights = DEVELOPER	
[4/3/22 04:57PM] Quiet Prof3 used command ::item 22042 | Player rights = DEVELOPER	
[4/3/22 04:57PM] Quiet Prof3 used command ::item 22041 | Player rights = DEVELOPER	
[4/3/22 04:59PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 05:08PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 05:09PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 05:10PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 05:12PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 05:19PM] Quiet Prof3 used command ::npc 4652 | Player rights = DEVELOPER	
[4/3/22 05:24PM] Quiet Prof3 used command ::global | Player rights = DEVELOPER	
[4/3/22 05:30PM] Quiet Prof3 used command ::item 23126 | Player rights = DEVELOPER	
[4/3/22 05:30PM] Quiet Prof3 used command ::item 23123 | Player rights = DEVELOPER	
[4/3/22 05:30PM] Quiet Prof3 used command ::item 23120 | Player rights = DEVELOPER	
[4/3/22 05:31PM] Quiet Prof3 used command ::item 23044 | Player rights = DEVELOPER	
[4/3/22 05:31PM] Quiet Prof3 used command ::item 23045 | Player rights = DEVELOPER	
[4/3/22 05:31PM] Quiet Prof3 used command ::item 23046 | Player rights = DEVELOPER	
[4/3/22 05:31PM] Quiet Prof3 used command ::Item 23047 | Player rights = DEVELOPER	
[4/3/22 05:31PM] Quiet Prof3 used command ::item 23048 | Player rights = DEVELOPER	
[4/3/22 05:31PM] Quiet Prof3 used command ::Item 23049 | Player rights = DEVELOPER	
[4/3/22 05:33PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 07:52PM] Quiet Prof3 used command ::tele 2079 4450 | Player rights = DEVELOPER	
[4/3/22 07:52PM] Quiet Prof3 used command ::tele 2080 4456 | Player rights = DEVELOPER	
[4/3/22 07:53PM] Quiet Prof3 used command ::tele 2075 4462 | Player rights = DEVELOPER	
[4/3/22 07:53PM] Quiet Prof3 used command ::tele 2074 4465 | Player rights = DEVELOPER	
[4/3/22 07:53PM] Quiet Prof3 used command ::item 23114 | Player rights = DEVELOPER	
[4/3/22 07:54PM] Quiet Prof3 used command ::item 23043 | Player rights = DEVELOPER	
[4/3/22 07:54PM] Quiet Prof3 used command ::Item 23041 | Player rights = DEVELOPER	
[4/3/22 07:54PM] Quiet Prof3 used command ::item 23041 | Player rights = DEVELOPER	
[4/3/22 07:54PM] Quiet Prof3 used command ::Item 23042 | Player rights = DEVELOPER	
[4/3/22 07:54PM] Quiet Prof3 used command ::item 23110 | Player rights = DEVELOPER	
[4/3/22 07:54PM] Quiet Prof3 used command ::id upgrade coll | Player rights = DEVELOPER	
[4/3/22 07:55PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 07:57PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 07:59PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:03PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:04PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:06PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:06PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:07PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:29PM] Quiet Prof3 used command ::interface 126500 | Player rights = DEVELOPER	
[4/3/22 08:34PM] Quiet Prof3 used command ::interface 117000 | Player rights = DEVELOPER	
[4/3/22 08:37PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:37PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:44PM] Quiet Prof3 used command ::item 3906 | Player rights = DEVELOPER	
[4/3/22 08:44PM] Quiet Prof3 used command ::item 3908 | Player rights = DEVELOPER	
[4/3/22 08:44PM] Quiet Prof3 used command ::item 3906 | Player rights = DEVELOPER	
[4/3/22 08:44PM] Quiet Prof3 used command ::Item 3910 | Player rights = DEVELOPER	
[4/3/22 08:45PM] Quiet Prof3 used command ::empty | Player rights = DEVELOPER	
[4/3/22 08:45PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:45PM] Quiet Prof3 used command ::empty | Player rights = DEVELOPER	
[4/3/22 08:45PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:46PM] Quiet Prof3 used command ::abnk | Player rights = DEVELOPER	
[4/3/22 08:46PM] Quiet Prof3 used command ::abnk | Player rights = DEVELOPER	
[4/3/22 08:46PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/3/22 08:47PM] Quiet Prof3 used command ::tele 2070 4445 | Player rights = DEVELOPER	
[4/3/22 08:47PM] Quiet Prof3 used command ::tele 2066 4445 | Player rights = DEVELOPER	
[4/3/22 08:47PM] Quiet Prof3 used command ::ID BONE | Player rights = DEVELOPER	
[4/3/22 08:47PM] Quiet Prof3 used command ::id dragonb | Player rights = DEVELOPER	
[4/3/22 08:47PM] Quiet Prof3 used command ::item 9565 10 | Player rights = DEVELOPER	
[4/3/22 08:47PM] Quiet Prof3 used command ::item 2025 10 | Player rights = DEVELOPER	
[4/6/22 11:40PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
[4/6/22 11:40PM] Quiet Prof3 used command ::item 17600 | Player rights = DEVELOPER	
[4/6/22 11:40PM] Quiet Prof3 used command ::bank | Player rights = DEVELOPER	
