[3/13/22 02:19PM] Quiet Prof2 used command ::home | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2078 4451 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2078 4459 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4456 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4455 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4454 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4455 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4455 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4456 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4456 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4457 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4456 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4455 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::tele 2074 4456 | Player rights = DEVELOPER	
[3/28/22 06:48PM] Quiet Prof2 used command ::coords | Player rights = DEVELOPER	
[3/28/22 06:49PM] Quiet Prof2 used command ::tele 2074 4455 | Player rights = DEVELOPER	
[3/28/22 06:49PM] Quiet Prof2 used command ::tele 2074 4456 | Player rights = DEVELOPER	
[3/28/22 06:49PM] Quiet Prof2 used command ::tele 2074 4455 | Player rights = DEVELOPER	
[3/28/22 06:50PM] Quiet Prof2 used command ::coords | Player rights = DEVELOPER	
[3/28/22 06:50PM] Quiet Prof2 used command ::tele 2075 4449 | Player rights = DEVELOPER	
[3/28/22 06:50PM] Quiet Prof2 used command ::tele 2075 4446 | Player rights = DEVELOPER	
[3/28/22 06:50PM] Quiet Prof2 used command ::tele 2074 4442 | Player rights = DEVELOPER	
[3/28/22 06:50PM] Quiet Prof2 used command ::coords | Player rights = DEVELOPER	
[3/28/22 06:50PM] Quiet Prof2 used command ::tele 2080 4441 | Player rights = DEVELOPER	
[3/28/22 06:50PM] Quiet Prof2 used command ::tele 2082 4441 | Player rights = DEVELOPER	
