[12/16/21 07:26PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 09:01PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 09:01PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 09:02PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/20/21 09:04PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 08:48PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 08:51PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 08:52PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 08:53PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 08:54PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 08:55PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 08:57PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:02PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:05PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:08PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:09PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:19PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:20PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:22PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:23PM] Player dropping item: COL Torva body, amount: 1	
[12/26/21 09:23PM] Picked up gr.Item COL Torva body, amount: 1	
[12/26/21 09:25PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:26PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:27PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:28PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:30PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:32PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:33PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:35PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:36PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:36PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:37PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 09:39PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 10:32PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 10:39PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 10:41PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 10:42PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 10:44PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 10:45PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:00PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:01PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:03PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:04PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:09PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:09PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:10PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:10PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:23PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:25PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:31PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:32PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:37PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:38PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:41PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:41PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:42PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:44PM] Picked up gr.Item Solak Coins, amount: 19237	
[12/26/21 11:44PM] Picked up gr.Item Gladiator full helm, amount: 1	
[12/26/21 11:44PM] Picked up gr.Item Solak Coins, amount: 8992	
[12/26/21 11:51PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:54PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/26/21 11:57PM] DEFAULT|2082,4453,0|Said: 62200	
[12/27/21 12:03AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:03AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:41AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:43AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:45AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:48AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:50AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:50AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:51AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:52AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:04AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:07AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:10AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:12AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:13AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:15AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:15AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:17AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:19AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:20AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:22AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:23AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:23AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 08:29AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 08:34AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 08:35AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 08:35AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 08:36AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 08:56AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 08:58AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:02AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:03AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:04AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:05AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:06AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:07AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:10AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:10AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:11AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:25AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:26AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 09:52AM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:44PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:46PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:49PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:49PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:51PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:52PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:53PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:55PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:55PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:57PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 12:58PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:00PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:22PM] Picked up gr.Item Solak Coins, amount: 8398	
[12/27/21 01:22PM] Picked up gr.Item Copper ore, amount: 29	
[12/27/21 01:25PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:26PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:30PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 01:31PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 02:03PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 02:31PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 02:33PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 02:41PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 02:51PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 02:52PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 06:37PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 06:43PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 06:44PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 06:45PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 06:58PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:02PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:15PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:15PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:26PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:28PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:29PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:30PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:42PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:44PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
[12/27/21 07:48PM] Login. ip: 127.0.0.1, mac: 2MO922475420210406014659.000000-360, uuid: 12-5B-AD-CB-DD-BB	
